A/AA/Huston/1945|CY021714|PA_X|A|H1N1|USA|Human,0.98,Transmissible
A/AA/Marton/1943|CY020290|PA_X|A|H1N1|USA|Human,0.98,Transmissible
A/Aalborg/INS132/2009|CY083915|PA_X|A|H1N1|Denmark|Human,0.68,Transmissible
A/Aarhus/INS236/2009|CY066940|PA_X|A|H1N1|Denmark|Human,0.65,Transmissible
A/Aarhus/INS3_653/2011|CY176575|PA_X|A|H1N1|Denmark|Human,0.91,Transmissible
A/Aarhus/INS3_654/2011|CY176583|PA_X|A|H1N1|Denmark|Human,0.7,Transmissible
A/Aarhus/INS611/2011|CY129545|PA_X|A|unknown|Denmark|Human,0.51,Transmissible
A/Aarhus/INS82/2009|CY056952|PA_X|A|H1N1|Denmark|Human,0.79,Transmissible
A/Adelie_penguin/Antarctica/178/2013|KJ729374|PA_X|A|H11N2|Antarctica|Adelie_Penguin,0.01,Non-transmissible
A/African_oystercatcher/South_Africa/18030214/2018|MN124639|PA_X|A|H5N8|South_Africa|Oystercatcher,0.01,Non-transmissible
A/African_penguin/South_Africa/18020408/2018|MN124623|PA_X|A|H5N8|South_Africa|Penguin,0.01,Non-transmissible
A/African_penguin/South_Africa/18050256/2018|MN124679|PA_X|A|H5N8|South_Africa|Penguin,0.01,Non-transmissible
A/African_starling/England_Q/983/1979|AY724254|PA_X|A|H7N1|United_Kingdom|African_Starling,0.01,Non-transmissible
A/Aichi/202/2009|GU138936|PA_X|A|H1N1|Japan|Human,0.6,Transmissible
A/Akita/1/94|U71136|PA_X|A|H3N2|Japan|Human,0.98,Transmissible
A/Akita/1/95|U71137|PA_X|A|H3N2|Japan|Human,0.98,Transmissible
A/Alabama/01/2015|KT841197|PA_X|A|H3N2|USA|Human,0.99,Transmissible
A/Alabama/04/2015|KT835888|PA_X|A|H3N2|USA|Human,0.96,Transmissible
A/Alabama/06/2019|MK630777|PA_X|A|H1N1|USA|Human,0.97,Transmissible
A/Alabama/06/2020|MT303223|PA_X|A|H1N1|USA|Human,0.98,Transmissible
A/Alabama/07/2014|KT837555|PA_X|A|H3N2|USA|Human,0.98,Transmissible
A/Alabama/07/2015|KT842160|PA_X|A|H3N2|USA|Human,0.98,Transmissible
A/Alabama/07/2016|KX409706|PA_X|A|H1N1|USA|Human,0.96,Transmissible
A/Alabama/07/2018|MH125611|PA_X|A|H1N1|USA|Human,0.97,Transmissible
A/Alabama/07/2020|MT330561|PA_X|A|H1N1|USA|Human,0.98,Transmissible
A/Alabama/09/2014|KT839285|PA_X|A|H3N2|USA|Human,0.99,Transmissible
A/Alabama/10/2014|KT839790|PA_X|A|H3N2|USA|Human,0.93,Transmissible
A/Alabama/12/2014|KT839833|PA_X|A|H3N2|USA|Human,0.98,Transmissible
A/Alabama/15/2016|CY210694|PA_X|A|H3N2|USA|Human,0.98,Transmissible
A/Alabama/16/2016|CY210686|PA_X|A|H3N2|USA|Human,0.98,Transmissible
A/Alabama/27/2017|CY264178|PA_X|A|H3N2|USA|Human,0.98,Transmissible
A/Alabama/27/2019|MT167168|PA_X|A|H1N1|USA|Human,0.96,Transmissible
A/Alabama/32/2018|MH601213|PA_X|A|H1N1|USA|Human,0.98,Transmissible
A/Alabama/UR06_0545/2007|CY025864|PA_X|A|H3N2|USA|Human,0.98,Transmissible
A/Alaska/01/2016|KX406018|PA_X|A|H1N1|USA|Human,0.96,Transmissible
A/Alaska/01/2020|MT330575|PA_X|A|H1N1|USA|Human,0.98,Transmissible
A/Alaska/04/2019|MK676826|PA_X|A|H3N2|USA|Human,0.98,Transmissible
A/Alaska/08/2019|MK715705|PA_X|A|H1N1|USA|Human,0.98,Transmissible
A/Alaska/10/2015|KT843411|PA_X|A|H3N2|USA|Human,0.98,Transmissible
A/Alaska/100/2017|MH601221|PA_X|A|H1N1|USA|Human,0.98,Transmissible
A/Alaska/11/2016|KY044773|PA_X|A|H1N1|USA|Human,0.94,Transmissible
A/Alaska/114/2015|KX003722|PA_X|A|H3N2|USA|Human,0.98,Transmissible
A/Alaska/119/2015|KX003770|PA_X|A|H3N2|USA|Human,0.98,Transmissible
A/Alaska/15/2016|KY115789|PA_X|A|H1N1|USA|Human,0.95,Transmissible
A/Alaska/158/2015|KU590312|PA_X|A|H3N2|USA|Human,0.98,Transmissible
A/Alaska/16/2016|KY115797|PA_X|A|H1N1|USA|Human,0.96,Transmissible
A/Alaska/16/2019|MN000652|PA_X|A|H3N2|USA|Human,0.99,Transmissible
A/Alaska/172/2015|KX412155|PA_X|A|H3N2|USA|Human,0.98,Transmissible
A/Alaska/19/2019|MN221592|PA_X|A|H3N2|USA|Human,0.98,Transmissible
A/Alaska/20/2016|KX915995|PA_X|A|H1N1|USA|Human,0.94,Transmissible
A/Alaska/20/2017|CY239632|PA_X|A|H1N1|USA|Human,0.98,Transmissible
